Cover_ID,Madden_Title,Madden_Release_Year,NFL_Season_After_Cover,Athlete_Name,Position,Team_On_Cover,Age_On_Cover,Has_Multiple_Athletes,Cover_Image_URL,Retired_After_Cover_Release,Games_Played_Before,Games_Played_After,Games_Missed_After,Team_Wins_Before,Team_Wins_After,AV_Stat_Before,AV_Stat_After,Injury_Level,Injury_Description,Games_Missed_Due_To_Injury,Performance_Change_Percent,Performance_Category
M1999,Madden NFL 2000 ,1999,2000,Barry Sanders,RB,Detroit Lions,31,False,https://upload.wikimedia.org/wikipedia/en/5/57/Madden_NFL_2000_Coverart.png,True,16,0,16,5,8,15,0,0,Retired before season start,0,-100.0,Significant Decrease
M2000,Madden NFL 2001,2000,2001,Eddie George,RB,Tennessee Titans,27,False,https://upload.wikimedia.org/wikipedia/en/2/2b/Madden_NFL_2001_Coverart.png,False,16,16,0,13,7,14,6,1,Turf toe injury limited performance,0,-57.14285714285714,Significant Decrease
M2001,Madden NFL 2002,2001,2002,Daunte Culpepper,QB,Minnesota Vikings,24,False,https://upload.wikimedia.org/wikipedia/en/a/a0/Madden_NFL_2002_Coverart.png,False,11,16,0,5,6,11,16,0,None,0,45.45454545454545,Significant Increase
M2002,Madden NFL 2003,2002,2003,Marshall Faulk,RB,St. Louis Rams,29,False,https://upload.wikimedia.org/wikipedia/en/7/75/Madden2003Box.jpg,False,14,11,5,7,12,15,11,2,Ankle/Knee injuries,5,-26.666666666666668,Significant Decrease
M2003,Madden NFL 2004,2003,2004,Michael Vick,QB,Atlanta Falcons,23,False,https://upload.wikimedia.org/wikipedia/en/9/98/Madden2004box.jpg,False,5,15,1,5,11,3,15,0,Fractured fibula in preseason limited previous year,0,400.0,Significant Increase
M2004,Madden NFL 2005,2004,2005,Ray Lewis,LB,Baltimore Ravens,29,False,https://upload.wikimedia.org/wikipedia/en/5/58/Madden_NFL_2005_Coverart.png,False,15,6,10,9,6,18,6,3,Thigh injury,10,-66.66666666666666,Significant Decrease
M2005,Madden NFL 2006,2005,2006,Donovan McNabb,QB,Philadelphia Eagles,28,False,https://upload.wikimedia.org/wikipedia/en/3/36/Madden06.jpg,False,9,10,6,6,10,10,11,3,Sports hernia,6,10.0,Slight Increase
M2006,Madden NFL 2007,2006,2007,Shaun Alexander,RB,Seattle Seahawks,29,False,https://upload.wikimedia.org/wikipedia/en/9/97/Madden_NFL_07_Coverart.png,False,10,13,3,9,10,10,5,3,Broken foot,3,-50.0,Significant Decrease
M2007,Madden NFL 2008,2007,2008,Vince Young,QB,Tennessee Titans,24,False,https://upload.wikimedia.org/wikipedia/en/4/4c/Madden_NFL_08_Coverart.png,False,15,3,13,10,13,13,3,1,Quad injury,1,-76.92307692307693,Significant Decrease
M2008,Madden NFL 2009,2008,2009,Brett Favre,QB,Green Bay Packers,38,False,https://upload.wikimedia.org/wikipedia/en/6/6d/Madden_NFL_09_Coverart.jpg,False,16,16,0,9,12,13,17,1,Shoulder injury (played through),0,30.76923076923077,Significant Increase
M2009,Madden NFL 2010,2009,2010,Troy Polamalu,SS,Pittsburgh Steelers,28,True,https://upload.wikimedia.org/wikipedia/en/6/69/Madden10_Xbox360.jpg,False,5,14,2,9,12,3,17,3,MCL sprain,2,466.6666666666667,Significant Increase
M2009,Madden NFL 2010,2009,2010,Larry Fitzgerald,WR,Arizona Cardinals,26,True,https://upload.wikimedia.org/wikipedia/en/6/69/Madden10_Xbox360.jpg,False,16,16,0,10,5,12,10,0,None,0,-16.666666666666664,Significant Decrease
M2010,Madden NFL 2011,2010,2011,Drew Brees,QB,New Orleans Saints,31,False,https://upload.wikimedia.org/wikipedia/en/4/4b/Madden_11_Drew_Brees_cover.jpg,False,16,16,0,11,13,15,21,1,MCL sprain,0,40.0,Significant Increase
M2011,Madden NFL 2012,2011,2012,Peyton Hillis,RB,Cleveland Browns,25,False,https://upload.wikimedia.org/wikipedia/en/b/bc/Madden_12_official_cover.jpg,False,10,13,3,4,2,6,4,2,None,3,-33.33333333333333,Significant Decrease
M2012,Madden NFL 2013,2012,2013,Calvin Johnson,WR,Detroit Lions,26,False,https://upload.wikimedia.org/wikipedia/en/a/a1/Madden_NFL_13_cover.png,False,16,14,2,4,7,17,14,1,Hamstring/Strep throat,2,-17.647058823529413,Significant Decrease
M2013,Madden NFL 25,2013,2014,Barry Sanders,RB,Detroit Lions,45,False,https://upload.wikimedia.org/wikipedia/en/2/25/Madden_NFL_25_Next-Gen.jpeg,True,0,0,0,0,0,0,0,0,None,0,0.0,No Change
M2014,Madden NFL 2015,2014,2015,Richard Sherman,CB,Seattle Seahawks,26,False,https://upload.wikimedia.org/wikipedia/en/2/2a/Madden_15_Cover_Featuring_Richard_Sherman.png,False,16,16,0,12,10,18,12,0,None,0,-33.33333333333333,Significant Decrease
M2015,Madden NFL 2016,2015,2016, Odell Beckham Jr.,WR,New York Giants,22,False,https://upload.wikimedia.org/wikipedia/en/f/f7/Odell_Beckham_Jr._Madden_NFL_16_Cover.jpg,False,15,16,0,6,11,14,14,0,None,0,0.0,No Change
M2016,Madden NFL 2017,2016,2017,Rob Gronkowski,TE,New England Patriots ,27,False,https://en.wikipedia.org/wiki/Madden_NFL_17,False,8,14,2,14,13,7,14,3,None,2,100.0,Significant Increase
M2017,Madden NFL 2018,2017,2018,Tom Brady,QB,New England Patriots,40,False,https://upload.wikimedia.org/wikipedia/en/5/58/Madden18GOAT.jpg,False,16,16,0,13,11,20,15,0,Back surgery recovery,0,-25.0,Significant Decrease
M2018,Madden NFL 2019,2018,2019,Antonio Brown ,WR,Pittsburgh Steelers,30,False,https://upload.wikimedia.org/wikipedia/en/6/6d/Madden19cover.jpeg,False,15,1,15,9,8,13,1,3,None,15,-92.3076923076923,Significant Decrease
M2019,Madden NFL 2020,2019,2020,Patrick Mahomes,QB,Kansas City Chiefs,23,False,https://upload.wikimedia.org/wikipedia/en/4/4d/Madden_20_decalless_cover_art.jpg,False,14,15,1,12,14,14,16,2,Team conduct issues/Cut,1,14.285714285714285,Significant Increase
